                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.25396,                0.87086,                      1,                0.43129,              0.0033279,              0.0033279,              0.0033279
                      2,                  0.125,                0.89901,                      1,                0.40915,              0.0065953,              0.0065953,              0.0065953
                      3,                 0.0883,                 0.9426,                      1,                0.36999,              0.0097967,              0.0097967,              0.0097967
                      4,                0.07313,                0.92715,                      1,                0.38435,               0.009703,               0.009703,               0.009703
                      5,                0.04975,                0.95364,                      1,                0.35654,               0.009604,               0.009604,               0.009604
                      6,                0.03811,                0.92881,                      1,                0.38213,               0.009505,               0.009505,               0.009505
                      7,                0.03355,                0.96247,                      1,                0.34935,               0.009406,               0.009406,               0.009406
                      8,                0.02385,                0.97848,                      1,                0.33625,               0.009307,               0.009307,               0.009307
                      9,                 0.0236,                0.98289,                      1,                0.33259,               0.009208,               0.009208,               0.009208
                     10,                 0.0186,                0.98841,                      1,                0.32671,               0.009109,               0.009109,               0.009109
                     11,                0.01362,                0.98344,                      1,                0.32965,                0.00901,                0.00901,                0.00901
                     12,                0.01026,                0.99283,                      1,                0.32236,               0.008911,               0.008911,               0.008911
                     13,                0.01046,                0.97903,                      1,                0.33222,               0.008812,               0.008812,               0.008812
                     14,                0.01075,                0.99007,                      1,                0.32456,               0.008713,               0.008713,               0.008713
                     15,                0.00838,                0.99558,                      1,                0.31871,               0.008614,               0.008614,               0.008614
                     16,                0.00745,                 0.9989,                      1,                0.31511,               0.008515,               0.008515,               0.008515
                     17,                0.00759,                 0.9989,                      1,                0.31567,               0.008416,               0.008416,               0.008416
                     18,                0.00639,                 0.9989,                      1,                0.31511,               0.008317,               0.008317,               0.008317
                     19,                0.00818,                0.99172,                      1,                0.32214,               0.008218,               0.008218,               0.008218
                     20,                 0.0051,                0.97958,                      1,                0.33296,               0.008119,               0.008119,               0.008119
                     21,                0.00771,                0.99448,                      1,                0.31919,                0.00802,                0.00802,                0.00802
                     22,                0.00864,                0.98786,                      1,                0.32564,               0.007921,               0.007921,               0.007921
                     23,                0.00606,                0.99669,                      1,                0.31871,               0.007822,               0.007822,               0.007822
                     24,                0.00487,                0.99724,                      1,                0.31742,               0.007723,               0.007723,               0.007723
                     25,                0.00251,                0.99503,                      1,                0.31904,               0.007624,               0.007624,               0.007624
                     26,                0.00215,                0.99614,                      1,                0.31828,               0.007525,               0.007525,               0.007525
                     27,                0.00635,                0.99448,                      1,                0.31953,               0.007426,               0.007426,               0.007426
                     28,                0.00355,                0.99503,                      1,                0.31985,               0.007327,               0.007327,               0.007327
